,Season,Lookback,Net,Num Games,Num Correct,% Correct,Comment,Predictor
55,2010,60,False,2430,1358,55.884773662551446,All Seasons,Pitcher
56,2011,60,False,2429,1276,52.53190613421162,All Seasons,Pitcher
57,2012,60,False,2430,1295,53.29218106995884,All Seasons,Pitcher
58,2013,60,False,2431,1308,53.80501851090086,All Seasons,Pitcher
59,2014,60,False,2430,1317,54.19753086419753,All Seasons,Pitcher
60,2015,60,False,2429,1301,53.56113627006999,All Seasons,Pitcher
61,2016,60,False,2428,1319,54.324546952224054,All Seasons,Pitcher
62,2017,60,False,2430,1282,52.757201646090536,All Seasons,Pitcher
63,0,70,False,19437,10421,53.61424088079436,All Seasons,Net or Raw Points (see Net)
64,2010,70,False,2430,1358,55.884773662551446,All Seasons,Pitcher
65,2011,70,False,2429,1276,52.53190613421162,All Seasons,Pitcher
66,2012,70,False,2430,1295,53.29218106995884,All Seasons,Pitcher
67,2013,70,False,2431,1307,53.763883175647884,All Seasons,Pitcher
68,2014,70,False,2430,1294,53.251028806584365,All Seasons,Pitcher
69,2015,70,False,2429,1308,53.84932070811034,All Seasons,Pitcher
70,2016,70,False,2428,1314,54.118616144975284,All Seasons,Pitcher
71,2017,70,False,2430,1269,52.22222222222223,All Seasons,Pitcher
72,0,80,False,19437,10434,53.681123630189845,All Seasons,Net or Raw Points (see Net)
73,2010,80,False,2430,1358,55.884773662551446,All Seasons,Pitcher
74,2011,80,False,2429,1276,52.53190613421162,All Seasons,Pitcher
75,2012,80,False,2430,1295,53.29218106995884,All Seasons,Pitcher
76,2013,80,False,2431,1307,53.763883175647884,All Seasons,Pitcher
77,2014,80,False,2430,1294,53.251028806584365,All Seasons,Pitcher
78,2015,80,False,2429,1320,54.343351173322354,All Seasons,Pitcher
79,2016,80,False,2428,1294,53.29489291598023,All Seasons,Pitcher
80,2017,80,False,2430,1290,53.086419753086425,All Seasons,Pitcher
81,0,90,False,19437,10440,53.711992591449295,All Seasons,Net or Raw Points (see Net)
82,2010,90,False,2430,1358,55.884773662551446,All Seasons,Pitcher
83,2011,90,False,2429,1276,52.53190613421162,All Seasons,Pitcher
84,2012,90,False,2430,1295,53.29218106995884,All Seasons,Pitcher
85,2013,90,False,2431,1307,53.763883175647884,All Seasons,Pitcher
86,2014,90,False,2430,1288,53.00411522633745,All Seasons,Pitcher
87,2015,90,False,2429,1323,54.46685878962536,All Seasons,Pitcher
88,2016,90,False,2428,1303,53.66556836902801,All Seasons,Pitcher
89,2017,90,False,2430,1290,53.086419753086425,All Seasons,Pitcher
90,0,100,False,19437,10437,53.696558110819566,All Seasons,Net or Raw Points (see Net)
91,2010,100,False,2430,1358,55.884773662551446,All Seasons,Pitcher
92,2011,100,False,2429,1276,52.53190613421162,All Seasons,Pitcher
93,2012,100,False,2430,1295,53.29218106995884,All Seasons,Pitcher
94,2013,100,False,2431,1307,53.763883175647884,All Seasons,Pitcher
95,2014,100,False,2430,1288,53.00411522633745,All Seasons,Pitcher
96,2015,100,False,2429,1320,54.343351173322354,All Seasons,Pitcher
97,2016,100,False,2428,1286,52.96540362438221,All Seasons,Pitcher
98,2017,100,False,2430,1307,53.78600823045267,All Seasons,Pitcher
